customer_id,churn_date,churn_flag
1,06-04-2024,1
2,,0
3,,0
4,,0
5,2024-10-15,0
6,2020-04-18,1
7,,0
8,2020-10-26,1
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,2021-10-21,1
17,,0
18,,0
19,04-05-2020,1
20,,0
21,2024-02-23,1
22,,0
23,2022-01-12,1
24,,0
25,,0
26,,0
27,2024-12-21,1
28,,0
29,,0
30,2020-07-05,1
31,,0
32,,0
33,30-08-2021,1
34,,0
35,13-10-2020,1
36,,0
37,2024-06-13,1
38,,0
39,,0
40,24-10-2022,1
41,,0
42,,0
43,2020-12-04,1
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,2020-08-31,1
54,,0
55,,0
56,2022-04-14,1
57,,0
58,,0
59,,0
60,,0
61,2024-05-20,1
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,2023-11-11,1
69,,0
70,,0
71,31-05-2023,1
72,,0
73,,0
74,,0
75,,0
76,2022-03-25,1
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,07-12-2022,1
84,,0
85,,0
86,2024-01-26,1
87,2020-02-20,1
88,,0
89,,0
90,2024-10-02,1
91,,0
92,,0
93,2021-12-13,1
94,2021-09-16,1
95,08-03-2021,1
96,,0
97,04-04-2021,1
98,,0
99,,0
100,2024-09-29,1
101,2021-11-28,1
102,,0
103,,0
104,,0
105,,0
106,,0
107,,0
108,,0
109,,0
110,,0
111,,0
112,2023-11-16,1
113,,0
114,2024-07-05,1
115,,0
116,18-01-2024,1
117,2022-02-23,1
118,,0
119,2020-04-16,1
120,02-11-2021,1
121,2022-06-10,1
122,,0
123,,0
124,07-07-2020,1
125,27-03-2022,1
126,,0
127,,0
128,,0
129,,0
130,2020-02-26,1
131,,0
132,,0
133,,0
134,2024-11-29,1
135,,0
136,,0
137,,0
138,,0
139,,0
140,2023-07-02,1
141,,0
142,,0
143,2024-06-23,1
144,,0
145,,0
146,,0
147,2023-02-05,1
148,,0
149,2023-09-20,1
150,,0
151,,0
152,,0
153,2022-11-02,1
154,,0
155,,0
156,,0
157,,0
158,,0
159,,0
160,,0
161,,0
162,2023-11-22,1
163,2020-08-04,1
164,,0
165,,0
166,,0
167,,0
168,,0
169,,0
170,2023-01-26,1
171,2023-04-16,0
172,2023-12-14,1
173,,0
174,,0
175,,0
176,10-02-2020,1
177,,0
178,,0
179,11-07-2021,1
180,2024-10-29,1
181,,0
182,,0
183,,0
184,2024-11-24,1
185,2022-05-08,1
186,,0
187,01-05-2021,1
188,,0
189,,0
190,2023-07-27,1
191,,0
192,,0
193,,0
194,,0
195,,0
196,,0
197,,0
198,2023-02-10,1
199,,0
200,,0
201,2024-07-11,1
202,,0
203,,0
204,,0
205,2020-12-12,1
206,2023-06-13,1
207,,0
208,,0
209,,0
210,,0
211,,0
212,2020-09-07,1
213,,0
214,2021-12-08,1
215,,0
216,,0
217,,0
218,,0
219,2021-10-10,1
220,,0
221,2024-11-13,1
222,,0
223,,0
224,,0
225,,0
226,,0
227,,0
228,,0
229,10-07-2023,1
230,2020-07-02,1
231,,0
232,2022-08-18,1
233,,0
234,,0
235,,0
236,,0
237,30-11-2023,1
238,,0
239,2021-07-20,1
240,,0
241,,0
242,,0
243,,0
244,2023-12-31,1
245,,0
246,,0
247,2022-07-18,1
248,,0
249,,0
250,,0
251,,0
252,,0
253,,0
254,12-05-2023,1
255,,0
256,,0
257,,0
258,,0
259,,0
260,,0
261,,0
262,2022-04-01,1
263,,0
264,2021-10-03,1
265,,0
266,,0
267,,0
268,2022-10-11,1
269,,0
270,,0
271,,0
272,,0
273,2020-02-23,1
274,,0
275,,0
276,,0
277,,0
278,,0
279,,0
280,,0
281,,0
282,,0
283,2023-10-16,1
284,2021-04-03,1
285,,0
286,,0
287,,0
288,14-12-2024,1
289,,0
290,,0
291,,0
292,,0
293,,0
294,,0
295,,0
296,,0
297,,0
298,,0
299,2023-11-03,1
300,,0
301,,0
302,,0
303,2020-04-07,1
304,2021-07-19,1
305,,0
306,,0
307,,0
308,,0
309,2021-10-27,1
310,,0
311,2021-05-27,1
312,,0
313,2021-02-24,1
314,,0
315,,0
316,2024-12-07,1
317,,0
318,,0
319,,0
320,,0
321,2022-09-17,1
322,,0
323,27-10-2020,1
324,,0
325,,0
326,2024-12-16,1
327,,0
328,,0
329,,0
330,,0
331,,0
332,,0
333,,0
334,2024-07-09,1
335,,0
336,,0
337,2022-09-03,1
338,2021-11-26,1
339,01-10-2023,1
340,,0
341,,0
342,,0
343,,0
344,,0
345,,0
346,,0
347,2020-07-29,1
348,,0
349,,0
350,,0
351,,0
352,,0
353,,0
354,,0
355,,0
356,,0
357,,0
358,,0
359,,0
360,,0
361,,0
362,,0
363,2022-06-13,1
364,,0
365,2021-03-17,1
366,10-12-2023,1
367,,0
368,,0
